Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_E,LV_03_N,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_23,Panel_befestigt,Luftung_30s
57,Eigerplatz,Eigerplatz,ac6956757b85,46.94067,7.43141,2599450.3,1198842.4,526.1,Hauptnetz,BERNMOBIL,Masten,ja,ja,ja
58,Murifeld,Murifeld,e96f9159cdca,46.93919,7.47992,2603143.9,1198678.2,553,Hauptnetz,ewb,Lampe,ja,ja,ja
59,Schlossmatte_Familiengarten,Schlossmatte_Familiengarten,0e93f9aa1539,46.94211,7.41688,2598344.1,1199002.6,548.4,Hauptnetz,Stadtgrun,Fahnenmasten,ja,ja,ja
61,Westside_Center,Westside_Center,1b0dc4db66c0,46.94555,7.37478,2595139,1199387.4,554.2,Hauptnetz,ewb,Parklaterne,nein,ja,ja
62,Felsenhaldenweg,Felsenhaldenweg,6cf62e6cfad9,46.97417,7.44122,2600197.2,1202567,492.5,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
65,Umland_Bolligen,Ostermundigen_Rorswil,4eb78fa39636,46.96681,7.50376,2604956.8,1201749.9,557.1,Hauptnetz,BKW,Stromleitungsmasten_BKW_FMB94,nein,ja,ja
68,Gleisfeld_Welle,Gleisfeld_Welle,noch_nicht_installiert,46.94838,7.43359,2599616.4,1199700.1,540.1,Hauptnetz,SBB,Lichtmasten,nein,-,
69,Eisenbahnquartier,Eisenbahnquartier,15c44cc1729a,46.93716,7.42317,2598822.7,1198452.8,561.1,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
70,Bundesplatz,Bundesplatz,44dd6ed61b66,46.94692,7.44353,2600373.1,1199537.1,542.6,Hauptnetz,TAB,Verkehrsschild,nein,ja,ja
71,Hirschengraben,Hirschengraben,83b8067d27a2,46.94658,7.43786,2599941.2,1199499.8,540.3,Hauptnetz,ewb,Laternenpfosten,ja,ja,ja
73,"Obstberg,_Wattenwylweg_32",Obstberg,64520be86594,46.94714,7.46407,2601936.8,1199561.8,561.8,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
76,"Wabern,_Viktoriastrasse_9",Wabern_Viktoriastrasse,cbb89f9d130c,46.93122,7.45326,2601114,1197791.9,533.6,Hauptnetz,Gemeinde_Koniz,Strassenlampe_(Gmd_Koniz_119),ja,ja,ja
78,Dalmazibrucke,Dalmazibrucke,e3594371a27b,46.94445,7.44571,2600538.5,1199262.1,500.9,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
79,Umland_Belp,Umland_Belp,e1ccbf0d3c96,46.89942,7.51184,2605578,1194258.9,513.1,Hauptnetz,Energie_Belp,Stromleitungsmasten_EVB52,nein,ja,ja
80,Elfenau_Kreuzung_Hofmeister-_Matterstrasse_(Wegli),Elfenau,db9e92f34b5f,46.93558,7.4695,2602350.8,1198276.9,544.8,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
82,Thunplatz,Thunplatz,7c98b95fbc73,46.94059,7.45824,2601493.1,1198834.2,551.8,Hauptnetz,BERNMOBIL,Tramampel,nein,ja,ja
83,Stadtlabor,Stadtlabor,d6e2769def35,46.96311,7.46257,2601821.5,1201337.7,554.5,Hauptnetz,AFU,Holzpflock,ja,nein,ja
